id,name
10397,Hartsfield-Jackson Atlanta International
10821,Baltimore/Washington International Thurgood Marshall
11042,Cleveland-Hopkins International
11057,Charlotte Douglas International
11278,Ronald Reagan Washington National
11292,Denver International
11298,Dallas/Fort Worth International
11433,Detroit Metro Wayne County
11618,Newark Liberty International
12191,William P Hobby
12264,Washington Dulles International
12478,John F. Kennedy International
12892,Los Angeles International
12889,McCarran International
12953,LaGuardia
13232,Chicago Midway International
13487,Minneapolis-St Paul International
13796,Metropolitan Oakland International
13830,Kahului Airport
13930,Chicago O'Hare International
13931,Norfolk International
14107,Phoenix Sky Harbor International
14122,Pittsburgh International
14524,Richmond International
14679,San Diego International
14730,Louisville International-Standiford Field
14747,Seattle/Tacoma International
14771,San Francisco International
15304,Tampa International
